Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
1,2017-07-01,14.0,Düsseldorf,Düsseldorf,Time Trial,Geraint Thomas,GBR,268
2,2017-07-02,203.5,Düsseldorf,Liège,Flat,Marcel Kittel,GER,541
3,2017-07-03,212.5,Verviers,Longwy,Mountain,Peter Sagan,SVK,654
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat,Arnaud Démare,FRA,56
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Mountain,Fabio Aru,ITA,194
6,2017-07-06,216.0,Vesoul,Troyes,Flat,Marcel Kittel,GER,541
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat,Marcel Kittel,GER,541
8,2017-07-08,187.5,Dole,Station des Rousses,Mountain,Lilian Calmejane,FRA,488
9,2017-07-09,181.5,Nantua,Chambéry,Mountain,Rigoberto Urán,COL,713
10,2017-07-11,178.0,Périgueux,Bergerac,Flat,Marcel Kittel,GER,541
11,2017-07-12,203.5,Eymet,Pau,Flat,Marcel Kittel,GER,541
12,2017-07-13,214.5,Pau,Peyragudes,Mountain,Romain Bardet,FRA,746
13,2017-07-14,101.0,Saint-Girons,Foix,Mountain,Warren Barguil,FRA,839
14,2017-07-15,181.5,Blagnac,Rodez,Mountain,Michael Matthews,AUS,585
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Mountain,Bauke Mollema,NED,67
16,2017-07-18,165.0,Le Puy-en-Velay,Romans-sur-Isère,Mountain,Michael Matthews,AUS,585
17,2017-07-19,183.0,La Mure,Serre Chevalier,Mountain,Primož Roglič,SLO,681
18,2017-07-20,179.5,Briançon,Col d'Izoard,Mountain,Warren Barguil,FRA,839
19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat,Edvald Boasson Hagen,NOR,162
20,2017-07-22,22.5,Marseille,Marseille,Time Trial,Maciej Bodnar,POL,526
21,2017-07-23,103.0,Montgeron,Paris,Flat,Dylan Groenewegen,NED,152
1,2016-07-02,188.0,Mont Saint-Michel,Utah Beach,Flat,Mark Cavendish,GBR,558
